step,scenario_id,device_type,network_condition,cloud_condition,edge_cpu,edge_ram,edge_battery,bandwidth,latency,queue_delay,workload_cpu,workload_ram,workload_energy,cloud_workload
0,1,smartphone,good,idle,29.39,25.34,99.96,90.79,10.06,5.06,10.58,6.48,0.64,1.04
1,1,smartphone,good,idle,42.77,24.01,99.92,88.6,10.12,5.08,17.47,3.1,0.93,0.64
2,1,smartphone,good,idle,51.42,27.03,99.87,88.46,10.18,5.01,18.2,6.78,0.93,1.07
3,1,smartphone,good,idle,45.55,27.32,99.83,87.96,10.39,5.12,11.44,5.56,1.0,0.57
4,1,smartphone,good,idle,51.03,27.71,99.78,89.8,10.65,5.09,17.6,5.88,0.88,0.77
5,1,smartphone,good,idle,49.41,29.56,99.73,88.67,10.35,5.02,14.44,7.44,1.02,2.2
6,1,smartphone,good,idle,55.29,30.56,99.68,89.68,10.18,4.96,18.77,7.66,1.18,0.65
7,1,smartphone,good,idle,50.61,29.52,99.63,86.74,10.7,4.81,14.97,5.64,1.2,0.84
8,1,smartphone,good,idle,58.2,26.89,99.58,88.37,10.49,4.88,21.71,3.25,1.09,2.05
9,1,smartphone,good,idle,55.85,25.69,99.53,86.84,10.6,4.93,18.28,3.57,0.99,2.0
10,1,smartphone,good,idle,58.7,24.57,99.47,86.79,10.69,4.94,20.73,3.21,1.47,1.27
11,1,smartphone,good,idle,60.08,24.71,99.41,85.96,10.24,4.85,19.97,3.77,1.31,2.24
12,1,smartphone,good,idle,58.32,23.68,99.38,80.86,10.85,4.86,16.65,3.19,0.5,2.12
13,1,smartphone,good,idle,66.63,26.81,99.32,81.59,10.49,4.88,24.84,7.52,1.39,2.32
14,1,smartphone,good,idle,61.44,28.46,99.26,82.48,10.79,5.0,17.47,7.69,1.2,1.2
15,1,smartphone,good,idle,51.25,26.51,99.2,84.27,10.84,5.01,11.39,4.03,1.44,1.75
16,1,smartphone,good,idle,55.57,25.84,99.15,84.85,10.64,5.06,18.63,4.3,1.09,1.33
17,1,smartphone,good,idle,49.89,28.26,99.1,80.47,10.86,5.11,12.67,7.14,1.21,0.67
18,1,smartphone,good,idle,61.26,27.01,99.06,80.98,10.97,5.23,24.38,4.11,0.69,2.27
19,1,smartphone,good,idle,57.27,25.11,99.02,77.18,11.2,5.2,16.87,3.31,0.53,1.82
0,2,smartphone,good,moderate,37.52,24.79,99.95,92.73,10.05,11.83,16.13,5.71,1.36,5.66
1,2,smartphone,good,moderate,38.5,24.98,99.9,93.38,9.9,11.76,10.13,3.78,1.01,3.69
2,2,smartphone,good,moderate,45.34,25.8,99.85,93.0,9.75,11.85,15.68,5.03,1.19,4.75
3,2,smartphone,good,moderate,42.94,24.92,99.81,93.73,9.49,11.88,11.68,3.35,0.59,3.96
4,2,smartphone,good,moderate,51.26,28.15,99.78,96.97,9.62,12.01,19.38,7.85,0.54,5.53
5,2,smartphone,good,moderate,48.91,26.6,99.74,96.78,9.68,11.95,13.88,4.24,0.55,5.9
6,2,smartphone,good,moderate,50.84,24.75,99.69,99.16,9.31,11.9,16.55,3.19,1.21,3.28
7,2,smartphone,good,moderate,56.79,26.36,99.64,96.21,9.42,11.93,19.46,5.95,1.04,4.4
8,2,smartphone,good,moderate,62.11,27.17,99.59,92.09,9.71,12.0,21.91,6.42,0.85,5.25
9,2,smartphone,good,moderate,53.53,25.14,99.54,92.86,9.49,12.05,13.35,3.07,1.25,4.52
10,2,smartphone,good,moderate,63.82,25.75,99.5,86.99,9.88,12.01,24.92,4.78,0.7,3.83
11,2,smartphone,good,moderate,50.3,26.16,99.46,88.9,10.07,12.04,10.89,5.17,0.55,4.01
12,2,smartphone,good,moderate,46.64,27.17,99.4,82.56,10.5,12.04,12.69,6.21,1.34,3.55
13,2,smartphone,good,moderate,41.82,26.27,99.35,83.92,10.66,11.97,10.1,4.37,1.19,3.34
14,2,smartphone,good,moderate,55.9,28.09,99.31,82.33,10.47,11.96,22.61,7.15,0.78,4.83
15,2,smartphone,good,moderate,62.73,28.01,99.26,86.45,10.5,11.93,22.97,6.0,1.05,3.85
16,2,smartphone,good,moderate,55.27,27.34,99.21,83.06,10.96,11.95,14.5,5.02,1.05,4.68
17,2,smartphone,good,moderate,60.02,25.34,99.16,80.76,11.26,11.83,19.86,3.37,0.94,4.75
18,2,smartphone,good,moderate,49.33,28.23,99.11,78.4,11.39,12.02,11.26,7.51,1.27,4.63
19,2,smartphone,good,moderate,55.76,28.09,99.07,79.17,11.96,12.13,20.52,5.8,0.57,3.52
0,3,smartphone,good,busy,34.62,24.49,99.97,89.03,9.64,25.36,14.08,5.44,0.58,7.41
1,3,smartphone,good,busy,39.21,25.4,99.91,87.2,9.93,26.37,11.77,4.56,1.24,8.05
2,3,smartphone,good,busy,41.84,28.0,99.86,91.18,9.39,27.54,12.03,6.98,1.24,6.16
3,3,smartphone,good,busy,47.21,28.65,99.8,88.66,9.73,28.86,16.12,6.5,1.42,7.06
4,3,smartphone,good,busy,57.86,30.21,99.77,89.68,9.63,30.72,21.63,7.81,0.59,7.93
5,3,smartphone,good,busy,63.89,30.24,99.71,94.61,9.58,32.55,23.14,6.73,1.16,8.27
6,3,smartphone,good,busy,66.17,29.77,99.66,93.6,9.79,34.84,22.15,6.22,1.09,8.09
7,3,smartphone,good,busy,62.2,26.62,99.61,92.35,10.28,37.19,19.4,3.08,1.0,7.5
8,3,smartphone,good,busy,56.38,28.39,99.57,91.57,10.66,39.8,16.22,7.18,0.64,8.4
9,3,smartphone,good,busy,58.61,25.9,99.51,95.78,10.04,42.6,19.19,3.15,1.36,9.36
10,3,smartphone,good,busy,52.55,25.73,99.47,95.94,9.64,45.3,14.33,4.5,0.68,6.14
11,3,smartphone,good,busy,56.22,26.77,99.43,96.11,9.44,48.34,19.36,5.88,0.86,8.16
